metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif;bal_total_test_case;bal_total_statement;bal_total_test_positive;bal_total_test_negative;bal_total_test_equal;bal_total_test_dif;sintet_total_test_equal;sintet_total_test_dif
topn;tarantula;defects4j;Chart;19;smote;6;361;4493;359;2;219;142;718;4493;359;359;576;142;357;0
topn;ochiai;defects4j;Chart;20;smote;7;296;517;295;1;244;52;296;517;295;1;244;52;0;0
topn;tarantula;defects4j;Chart;20;smote;7;296;517;295;1;244;52;296;517;295;1;244;52;0;0
topn;ochiai;defects4j;Chart;21;smote;15;13;595;12;1;0;13;13;595;12;1;0;13;0;0
topn;tarantula;defects4j;Chart;21;smote;15;13;595;12;1;0;13;13;595;12;1;0;13;0;0
topn;ochiai;defects4j;Chart;22;smote;52;37;246;31;6;14;23;62;246;31;31;40;22;24;1
topn;tarantula;defects4j;Chart;22;smote;34;37;246;31;6;14;23;62;246;31;31;40;22;24;1
topn;ochiai;defects4j;Chart;23;smote;0;5;4655;4;1;0;5;5;4655;4;1;0;5;0;0
topn;tarantula;defects4j;Chart;23;smote;0;5;4655;4;1;0;5;5;4655;4;1;0;5;0;0
topn;ochiai;defects4j;Chart;24;smote;4;10;25;9;1;4;6;10;25;9;1;4;6;0;0
topn;tarantula;defects4j;Chart;24;smote;4;10;25;9;1;4;6;10;25;9;1;4;6;0;0
topn;ochiai;defects4j;Chart;25;smote;3005;9;10879;5;4;2;7;10;10879;5;5;4;6;0;1
topn;tarantula;defects4j;Chart;25;smote;204;9;10879;5;4;2;7;10;10879;5;5;4;6;0;1
topn;ochiai;defects4j;Chart;26;smote;139;539;20672;517;22;119;420;1034;20672;517;517;614;420;494;1
topn;tarantula;defects4j;Chart;26;smote;671;539;20672;517;22;119;420;1034;20672;517;517;614;420;494;1
